timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2022-11-30T09:45:37,emissions_app_reboot0,da14f250-6bbd-45aa-b4e7-0b2d82250f18,0.0007309913635253,1.603581971592373e-09,0.0021937085054722,42.5,0.0,3.0,7.3068671756320544e-09,0,3.657738367716472e-10,7.6726410124037e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:39,emissions_app_reboot0,e48385a6-44fe-4f6c-b663-87bca3c83385,0.000734806060791,1.5943981210390727e-09,0.0021698216796452,42.5,0.0,3.0,7.270276546478272e-09,0,3.5842259724934885e-10,7.628699143727621e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:40,emissions_app_reboot0,e7d20965-1caf-48b5-87fc-aa66d50d0d41,0.0007359981536865,1.5627840823597379e-09,0.0021233532645862,42.5,0.0,3.0,7.1464313401116275e-09,0,3.310044606526693e-10,7.477435800764296e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:42,emissions_app_reboot0,c78cd465-74d8-444b-9a64-1a6aae83f400,0.0006678104400634,1.425815290874905e-09,0.0021350598992423,42.5,0.0,3.0,6.513131989373101e-09,0,3.089507420857748e-10,6.822082731458876e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:43,emissions_app_reboot0,80f629b0-bd23-46af-b1b9-c390665ad0bf,0.0008320808410644,1.809066302246517e-09,0.0021741472858962,42.5,0.0,3.0,8.311702145470513e-09,0,3.4411748250325516e-10,8.655819627973768e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:45,emissions_app_reboot0,9770c7d4-7044-4785-80c5-3ddb2b25fef7,0.0008237361907958,1.6229947076903454e-09,0.0019702845714745,42.5,0.0,3.0,7.399751080407038e-09,0,3.6577383677164716e-10,7.765524917178686e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:46,emissions_app_reboot0,c91e33fb-e608-4b5a-929e-7a94df097862,0.000802993774414,1.6389955083529152e-09,0.002041106121338,42.5,0.0,3.0,7.4729323387146e-09,0,3.691514333089192e-10,7.842083772023521e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:50,emissions_app_reboot0,a705037c-4205-4bca-bc15-67b03f40fdeb,0.0023219585418701,4.937347405486637e-09,0.0021263719039143,42.5,0.0,3.0,2.2559530205196812e-08,0,1.064141591389974e-09,2.3623671796586783e-08,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:53,emissions_app_reboot0,d17b6b73-6e49-4bd0-98b3-94719396df28,0.0025417804718017,5.159579979048835e-09,0.0020299077895548,42.5,0.0,3.0,2.3586882485283747e-08,0,1.1001030604044592e-09,2.4686985545688208e-08,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
2022-11-30T09:45:54,emissions_app_reboot0,4639a5f0-2745-464f-aa5c-77255a166823,0.0008530616760253,1.856784953011407e-09,0.0021766127880255,42.5,0.0,3.0,8.534060584174263e-09,0,3.500779469807943e-10,8.884138531155058e-09,United Kingdom,GBR,england,,,macOS-12.6-arm64-arm-64bit,3.10.8,8,Apple M2,,,-1.5897,53.7591,8.0,machine,N
